player1, Cost = 4: A, C, D;
player2, Cost = 5: A, B, D;
player3, Cost = 5: A, B, D;
player1, Cost = 5: A, B, D;
player2, Cost = 4: A, C, D;
player3, Cost = 5: A, B, D;
player1, Cost = 5: A, C, D;
player2, Cost = 5: A, C, D;
player3, Cost = 4: A, B, D;
player1, Cost = 5: A, B, D;
player2, Cost = 5: A, B, D;
player3, Cost = 4: A, C, D;
player1, Cost = 5: A, C, D;
player2, Cost = 4: A, B, D;
player3, Cost = 5: A, C, D;
player1, Cost = 4: A, B, D;
player2, Cost = 5: A, C, D;
player3, Cost = 5: A, C, D;
